AccessionID,AccessionName,HasSeed,Project,PopulationName,NumberOfMaternalLines,DateCollected,Latitude,Longitude,Altitude,StorageLocation,Source,ExternalID,Notes,FatherAccessionID,MotherAccessionID,SeedRemaining,SeedlingLocation
A20055,S10T14,?,E.marginata,S10,1,2014,-34.7342,116.70196,?,?,JB/RM,none,,unknown,unknown,?,?
A20056,S2T10,?,E.marginata,S2,1,2014,-32.38213,116.31295,?,?,JB/RM,none,,unknown,unknown,?,?
A20057,LT18,?,E.marginata,T2,1,2014,-32.8368,116.46783,?,?,JB/RM,none,,unknown,unknown,?,?
A20058,LT117,?,E.marginata,T5,1,2014,-34.14561,115.84166,?,?,JB/RM,none,,unknown,unknown,?,?
A20059,S7T1,?,E.marginata,S7,1,2014,-33.22218,116.58794,?,?,JB/RM,none,,unknown,unknown,?,?
A20060,LT33,?,E.marginata,T2,1,2014,-32.74682,116.1322,?,?,JB/RM,none,,unknown,unknown,?,?
A20061,S3T12,?,E.marginata,S3,1,2014,-32.45142,116.53898,?,?,JB/RM,none,,unknown,unknown,?,?
A20062,S1T20,?,E.marginata,S1,1,2014,-32.35048,116.10236,?,?,JB/RM,none,,unknown,unknown,?,?
A20063,LT71,?,E.marginata,T4,1,2014,-33.94007,115.19519,?,?,JB/RM,none,,unknown,unknown,?,?
A20064,S4T12,?,E.marginata,S4,1,2014,-32.79177,116.22636,?,?,JB/RM,none,,unknown,unknown,?,?
A20065,LT93,?,E.marginata,T4,1,2014,-34.00626,116.15752,?,?,JB/RM,none,,unknown,unknown,?,?
A20066,S3T14,?,E.marginata,S3,1,2014,-32.45153,116.54168,?,?,JB/RM,none,,unknown,unknown,?,?
A20067,S3T3,?,E.marginata,S3,1,2014,-32.45059,116.52647,?,?,JB/RM,none,,unknown,unknown,?,?
A20068,S4T2,?,E.marginata,S4,1,2014,-32.79365,116.22398,?,?,JB/RM,none,,unknown,unknown,?,?
A20069,S9T12,?,E.marginata,S9,1,2014,-34.07515,116.58663,?,?,JB/RM,none,,unknown,unknown,?,?
A20070,LT44,?,E.marginata,T2,1,2014,-32.76661,115.77372,?,?,JB/RM,none,,unknown,unknown,?,?
A20071,S9T7,?,E.marginata,S9,1,2014,-34.07624,116.5785,?,?,JB/RM,none,,unknown,unknown,?,?
A20072,LT25,?,E.marginata,T2,1,2014,-32.8391,116.47453,?,?,JB/RM,none,,unknown,unknown,?,?
A20073,LT61,?,E.marginata,T3,1,2014,-33.3251,116.02615,?,?,JB/RM,none,,unknown,unknown,?,?
A20074,LT46,?,E.marginata,T2,1,2014,-32.81698,115.70027,?,?,JB/RM,none,,unknown,unknown,?,?
A20075,LT20,?,E.marginata,T2,1,2014,-32.83898,116.46762,?,?,JB/RM,none,,unknown,unknown,?,?
A20076,LT16,?,E.marginata,T2,1,2014,-32.83481,116.46909,?,?,JB/RM,none,,unknown,unknown,?,?
A20077,S5T13,?,E.marginata,S5,1,2014,-32.73962,116.07808,?,?,JB/RM,none,,unknown,unknown,?,?
A20078,S5T9,?,E.marginata,S5,1,2014,-32.74305,116.08006,?,?,JB/RM,none,,unknown,unknown,?,?
A20079,S9T11,?,E.marginata,S9,1,2014,-34.07522,116.585,?,?,JB/RM,none,,unknown,unknown,?,?
A20080,S5T14,?,E.marginata,S5,1,2014,-32.73861,116.07796,?,?,JB/RM,none,,unknown,unknown,?,?
A20081,LT52,?,E.marginata,T3,1,2014,-33.28727,116.49473,?,?,JB/RM,none,,unknown,unknown,?,?
A20082,LT10,?,E.marginata,T1,1,2014,-32.4533,116.47964,?,?,JB/RM,none,,unknown,unknown,?,?
A20083,LT92,?,E.marginata,T4,1,2014,-33.97792,116.11591,?,?,JB/RM,none,,unknown,unknown,?,?
A20084,S6T6,?,E.marginata,S6,1,2014,-33.37031,116.17573,?,?,JB/RM,none,,unknown,unknown,?,?
A20085,S8T7,?,E.marginata,S8,1,2014,-33.92155,115.40501,?,?,JB/RM,none,,unknown,unknown,?,?
A20086,LT69,?,E.marginata,T4,1,2014,-33.97027,115.10903,?,?,JB/RM,none,,unknown,unknown,?,?
A20087,S6T10,?,E.marginata,S6,1,2014,-33.37425,116.17416,?,?,JB/RM,none,,unknown,unknown,?,?
A20088,LT5,?,E.marginata,T1,1,2014,-32.37978,116.24908,?,?,JB/RM,none,,unknown,unknown,?,?
A20089,S9T9,?,E.marginata,S9,1,2014,-34.07569,116.58172,?,?,JB/RM,none,,unknown,unknown,?,?
A20090,LT86,?,E.marginata,T4,1,2014,-34.00497,115.81125,?,?,JB/RM,none,,unknown,unknown,?,?
A20091,S4T7,?,E.marginata,S4,1,2014,-32.8061,116.22195,?,?,JB/RM,none,,unknown,unknown,?,?
A20092,S5T15,?,E.marginata,S5,1,2014,-32.73766,116.07752,?,?,JB/RM,none,,unknown,unknown,?,?
A20093,S7T5,?,E.marginata,S7,1,2014,-33.22759,116.58557,?,?,JB/RM,none,,unknown,unknown,?,?
A20094,LT28,?,E.marginata,T2,1,2014,-32.83548,116.31289,?,?,JB/RM,none,,unknown,unknown,?,?
A20095,S8T2,?,E.marginata,S8,1,2014,-33.92013,115.41592,?,?,JB/RM,none,,unknown,unknown,?,?
A20096,S9T5,?,E.marginata,S9,1,2014,-34.07719,116.57507,?,?,JB/RM,none,,unknown,unknown,?,?
A20097,LT114,?,E.marginata,T5,1,2014,-34.34562,116.33414,?,?,JB/RM,none,,unknown,unknown,?,?
A20098,LT29,?,E.marginata,T2,1,2014,-32.8218,116.28854,?,?,JB/RM,none,,unknown,unknown,?,?
A20099,S8T3,?,E.marginata,S8,1,2014,-33.92013,115.41406,?,?,JB/RM,none,,unknown,unknown,?,?
